id,name,year_established,country,description,url,image,has_trading_incentive,trust_score,trust_score_rank,trade_volume_24h_btc,trade_volume_24h_btc_normalized
binance,Binance,2017,Cayman Islands,,https://www.binance.com/,https://assets.coingecko.com/markets/images/52/small/binance.jpg?1519353250,False,10,1,382588.0846249524,382588.0846249524
okex,OKX,2013,Belize,,https://www.okx.com,https://assets.coingecko.com/markets/images/96/small/WeChat_Image_20220117220452.png?1642428377,False,10,2,53068.253573820795,53068.253573820795
gate,Gate.io,,Hong Kong,"Gate was established in 2013, and it is the top 10 exchanges in the world in terms of authentic trading volume. It is also the first choice of over 8 million registered customers, covering 130+ countries worldwide, as we are providing the most comprehensive digital asset solutions.",https://gate.io/,https://assets.coingecko.com/markets/images/60/small/gate_io_logo1.jpg?1654596784,False,10,3,49201.65801593276,49201.65801593276
kucoin,KuCoin,2014,Seychelles,,https://www.kucoin.com/,https://assets.coingecko.com/markets/images/61/small/kucoin.png?1640584259,False,10,4,49100.26724254801,49100.26724254801
gdax,Coinbase Exchange,2012,United States,,https://www.coinbase.com,https://assets.coingecko.com/markets/images/23/small/Coinbase_Coin_Primary.png?1621471875,False,10,5,32823.07629899648,32823.07629899648
huobi,Huobi Global,2013,Seychelles,,https://www.huobi.com,https://assets.coingecko.com/markets/images/25/small/Huobi.?1655200466,False,10,6,24989.80331672259,24989.80331672259
ftx_spot,FTX,2019,Antigua and Barbuda,,https://ftx.com/,https://assets.coingecko.com/markets/images/451/small/F.png?1609051590,False,10,7,21875.499468235885,21875.499468235885
bybit_spot,Bybit,2018,,"Bybit is a cryptocurrency exchange that offers a professional platform featuring an ultra-fast matching engine, excellent customer service and multilingual community support for crypto traders of all levels. Established in March 2018, Bybit currently serves more than 10 million users and institutions offering access to over 100 assets and contracts across Spot, Futures and Options, launchpad projects, earn products, an NFT Marketplace and more. Bybit is a proud partner of Formula One racing team, Oracle Red Bull Racing, esports teams NAVI, Astralis, Alliance, Virtus.pro, Made in Brazil (MIBR), City Esports, and Oracle Red Bull Racing Esports, and association football (soccer) teams Borussia Dortmund and Avispa Fukuoka.",https://www.bybit.com,https://assets.coingecko.com/markets/images/698/small/bybit_spot.png?1629971794,False,10,8,17084.188791929384,17084.188791929384
kraken,Kraken,2011,United States,,https://r.kraken.com/c/2223866/687155/10583,https://assets.coingecko.com/markets/images/29/small/kraken.jpg?1584251255,False,10,9,7516.691652018725,7516.691652018725
crypto_com,Crypto.com Exchange,2019,Cayman Islands,"Crypto.com Exchange is the best place to trade crypto, with deep liquidity, low fees and best execution prices, users can trade major cryptocurrencies like Bitcoin, Ethereum, and many more and receive great CRO-powered rewards",https://crypto.com/exchange,https://assets.coingecko.com/markets/images/589/small/Crypto.jpg?1629861084,False,10,10,6592.026700989327,6592.026700989327
binance_us,Binance US,2019,United States,,https://www.binance.us/en,https://assets.coingecko.com/markets/images/469/small/Binance.png?1568875842,False,10,11,6393.9220048276775,6393.9220048276775
bitmax,AscendEX (BitMax),2018,Singapore,"AscendEX (formerly BitMax) is a leading global digital asset financial platform founded by a group of Wall Street quantitative trading veterans in 2018, building on core value of “Efficiency, Resilience and Transparency.” 
 
Driven by its continuous innovative product development and early-mover advantage in strategic alignment with the leading projects from DeFi ecosystem, AscendEX offers trading services across over 200 trading pairs across cash, margin, and futures products, in particular margin trading of over 50 tokens in cross-asset collateral mode and futures trading in both cross-asset and isolated margin modes.",https://ascendex.com/en/global-digital-asset-platform,https://assets.coingecko.com/markets/images/277/small/%E5%8E%9F%E8%89%B2.png?1650557355,False,10,12,5128.895230122506,5128.895230122506
bitfinex,Bitfinex,2014,British Virgin Islands,,https://www.bitfinex.com,https://assets.coingecko.com/markets/images/4/small/BItfinex.png?1615895883,False,10,13,2528.868264889122,2528.868264889122
ftx_us,FTX.US,2020,United States,,https://ftx.us/,https://assets.coingecko.com/markets/images/532/small/FTX-US.jpg?1609051756,False,10,14,2374.946284349936,2374.946284349936
gemini,Gemini,2014,United States,,https://gemini.sjv.io/bZ49k,https://assets.coingecko.com/markets/images/50/small/gemini.png?1605704107,False,10,15,865.8743876376728,865.8743876376728
mxc,MEXC Global,2018,,"Established in April 2018, MEXC Global is one of the world’s leading digital-asset trading platforms. The core team comes from world-class enterprises and financial companies with rich experience in blockchain and financial industries.",https://www.mexc.com/,https://assets.coingecko.com/markets/images/409/small/WeChat_Image_20210622160936.png?1624349423,False,9,16,50446.154089583535,50446.154089583535
dextrade,Dex-Trade,2019,Belize,"Dex-Trade is a centralized cryptocurrency exchange founded in 2017 and registered in Belize. This is a modern space for safe and comfortable trading with minimal commissions.

Dex-Trade is a universal exchange for both beginners and professional traders. The minimum spread and high liquidity in order books allow you to trade efficiently with orders of any volume.
Along with global opportunities, the exchange also provides a demo trading mode for risk-free testing of your trading strategies. Our dedicated support team is online 24/7 to assist you with any questions.

You can learn more about Dex-Trade on the website.
https://dex-trade.com/info/about

If you are looking for listing and promotion options with Dex-Trade please visit our listing page and a personal manager will help you to utilize our proven tools and intelligent market-making system to engage with the vast exchange community in the best possible way. https://dex-trade.com/listing",https://dex-trade.com/,https://assets.coingecko.com/markets/images/380/small/Dex-Trade_logo_new.png?1599629803,False,9,17,6258.610707375501,6258.610707375501
